GEOID,NAME,label,top1,top2,top3,pop,pct_nhpi,pct_tot,metro
15003008407,"Census Tract 84.07, Honolulu County, Hawaii",Samoan,233,52%,6%,233,0.52,0.06,25
06073013908,"Census Tract 139.08, San Diego County, California",Native Hawaiian,232,100%,5%,232,1,0.05,20
15003008622,"Census Tract 86.22, Honolulu County, Hawaii",Native Hawaiian,232,89%,5%,232,0.89,0.05,25
49035113600,"Census Tract 1136, Salt Lake County, Utah",Samoan,232,100%,4%,232,1,0.04,19
06085508304,"Census Tract 5083.04, Santa Clara County, California",Tongan,231,100%,3%,231,1,0.03,22
06077003500,"Census Tract 35, San Joaquin County, California",Guamanian or Chamorro,230,48%,1%,230,0.48,0.01,24
15003008406,"Census Tract 84.06, Honolulu County, Hawaii",Samoan,230,45%,4%,230,0.45,0.04,25
06065043235,"Census Tract 432.35, Riverside County, California",Guamanian or Chamorro,228,100%,3%,228,1,0.03,17
53011041110,"Census Tract 411.10, Clark County, Washington",Marshallese,227,100%,3%,227,1,0.03,27
15003000302,"Census Tract 3.02, Honolulu County, Hawaii",Native Hawaiian,227,97%,8%,227,0.97,0.08,25
15003010308,"Census Tract 103.08, Honolulu County, Hawaii",Native Hawaiian,225,100%,7%,225,1,0.07,25
06001435300,"Census Tract 4353, Alameda County, California",Samoan,224,97%,5%,224,0.97,0.05,21
15003001000,"Census Tract 10, Honolulu County, Hawaii",Native Hawaiian,224,95%,7%,224,0.95,0.07,25
05143010401,"Census Tract 104.01, Washington County, Arkansas",Marshallese,224,74%,4%,224,0.74,0.04,3
06013355108,"Census Tract 3551.08, Contra Costa County, California",Fijian,223,95%,2%,223,0.95,0.02,21
06073013310,"Census Tract 133.1, San Diego County, California",Guamanian or Chamorro,223,100%,1%,223,1,0.01,20
06073020024,"Census Tract 200.24, San Diego County, California",Samoan,222,100%,5%,222,1,0.05,20
53033029305,"Census Tract 293.05, King County, Washington",Fijian,222,86%,5%,222,0.86,0.05,23
15003007808,"Census Tract 78.08, Honolulu County, Hawaii",Native Hawaiian,222,37%,6%,222,0.37,0.06,25
15003011106,"Census Tract 111.06, Honolulu County, Hawaii",Native Hawaiian,222,77%,4%,222,0.77,0.04,25
49035113406,"Census Tract 1134.06, Salt Lake County, Utah",Tongan,222,47%,3%,222,0.47,0.03,19
49035113308,"Census Tract 1133.08, Salt Lake County, Utah",Tongan,221,93%,4%,221,0.93,0.04,19
06037540101,"Census Tract 5401.01, Los Angeles County, California",Samoan,220,100%,3%,220,1,0.03,11
06037602200,"Census Tract 6022, Los Angeles County, California",Tongan,220,94%,3%,220,0.94,0.03,11
06067003800,"Census Tract 38, Sacramento County, California",Fijian,220,78%,4%,220,0.78,0.04,18
06085506305,"Census Tract 5063.05, Santa Clara County, California",Samoan,220,100%,3%,220,1,0.03,22
04013115900,"Census Tract 1159, Maricopa County, Arizona",Tongan,220,100%,4%,220,1,0.04,15
06073017051,"Census Tract 170.51, San Diego County, California",Fijian,219,77%,5%,219,0.77,0.05,20
06085501600,"Census Tract 5016, Santa Clara County, California",Guamanian or Chamorro,219,100%,3%,219,1,0.03,22
41067032404,"Census Tract 324.04, Washington County, Oregon",Native Hawaiian,219,100%,3%,219,1,0.03,27
06067007421,"Census Tract 74.21, Sacramento County, California",Fijian,218,76%,2%,218,0.76,0.02,18
06075023400,"Census Tract 234, San Francisco County, California",Samoan,218,82%,6%,218,0.82,0.06,21
06037650604,"Census Tract 6506.04, Los Angeles County, California",Samoan,217,59%,4%,217,0.59,0.04,11
06065042720,"Census Tract 427.20, Riverside County, California",Tongan,217,96%,4%,217,0.96,0.04,17
06077003403,"Census Tract 34.03, San Joaquin County, California",Samoan,217,88%,4%,217,0.88,0.04,24
32003000101,"Census Tract 1.01, Clark County, Nevada",Native Hawaiian,217,100%,3%,217,1,0.03,10
15003009400,"Census Tract 94, Honolulu County, Hawaii",Native Hawaiian,216,41%,4%,216,0.41,0.04,25
02020000902,"Census Tract 9.02, Anchorage Municipality, Alaska",Samoan,216,96%,8%,216,0.96,0.08,7
49035113020,"Census Tract 1130.20, Salt Lake County, Utah",Guamanian or Chamorro,216,100%,1%,216,1,0.01,19
41067031200,"Census Tract 312, Washington County, Oregon",Tongan,215,100%,3%,215,1,0.03,27
06001442900,"Census Tract 4429, Alameda County, California",Tongan,214,68%,3%,214,0.68,0.03,21
53061040200,"Census Tract 402, Snohomish County, Washington",Marshallese,214,75%,3%,214,0.75,0.03,23
06059052527,"Census Tract 525.27, Orange County, California",Fijian,213,100%,2%,213,1,0.02,11
06081610203,"Census Tract 6102.03, San Mateo County, California",Tongan,213,100%,5%,213,1,0.05,21
49035103900,"Census Tract 1039, Salt Lake County, Utah",Samoan,213,100%,5%,213,1,0.05,19
53033026300,"Census Tract 263, King County, Washington",Samoan,210,93%,13%,210,0.93,0.13,23
49035113512,"Census Tract 1135.12, Salt Lake County, Utah",Samoan,210,91%,5%,210,0.91,0.05,19
06037294410,"Census Tract 2944.10, Los Angeles County, California",Samoan,209,88%,4%,209,0.88,0.04,11
06037572202,"Census Tract 5722.02, Los Angeles County, California",Samoan,209,72%,6%,209,0.72,0.06,11
15003005700,"Census Tract 57, Honolulu County, Hawaii",Samoan,208,49%,8%,208,0.49,0.08,25
15003008924,"Census Tract 89.24, Honolulu County, Hawaii",Native Hawaiian,206,68%,3%,206,0.68,0.03,25
15003011104,"Census Tract 111.04, Honolulu County, Hawaii",Native Hawaiian,206,94%,4%,206,0.94,0.04,25
06067009618,"Census Tract 96.18, Sacramento County, California",Samoan,205,77%,4%,205,0.77,0.04,18
06001432600,"Census Tract 4326, Alameda County, California",Samoan,204,100%,3%,204,1,0.03,21
06065050400,"Census Tract 504, Riverside County, California",Guamanian or Chamorro,204,85%,2%,204,0.85,0.02,17
06081601100,"Census Tract 6011, San Mateo County, California",Samoan,204,70%,3%,204,0.7,0.03,21
49049010304,"Census Tract 103.04, Utah County, Utah",Samoan,204,91%,2%,204,0.91,0.02,16
32003000106,"Census Tract 1.06, Clark County, Nevada",Samoan,204,100%,5%,204,1,0.05,10
06059110500,"Census Tract 1105, Orange County, California",Tongan,203,96%,2%,203,0.96,0.02,11
15003008915,"Census Tract 89.15, Honolulu County, Hawaii",Native Hawaiian,203,55%,4%,203,0.55,0.04,25
06059001802,"Census Tract 18.02, Orange County, California",Samoan,202,100%,2%,202,1,0.02,11
