GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19
Id,Id2,Geography,Total:,Asian Indian,Bangladeshi,Cambodian,"Chinese, except Taiwanese",Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Pakistani,Sri Lankan,Taiwanese,Thai,Vietnamese,Other Asian,"Other Asian, not specified"
1400000US06001428302,06001428302,"Census Tract 4283.02, Alameda County, California",2913,164,0,6,2004,283,0,0,141,162,1,0,0,1,21,2,120,1,7
1400000US06001428400,06001428400,"Census Tract 4284, Alameda County, California",897,23,0,1,339,259,0,4,40,113,0,0,11,0,6,5,82,0,14
1400000US06001428500,06001428500,"Census Tract 4285, Alameda County, California",925,98,0,3,403,160,0,4,43,133,3,0,8,0,0,10,36,10,14
1400000US06001428600,06001428600,"Census Tract 4286, Alameda County, California",1162,72,0,4,618,294,0,6,52,36,1,0,0,1,4,12,58,0,4
1400000US06001430100,06001430100,"Census Tract 4301, Alameda County, California",2744,228,0,10,1702,313,0,10,105,245,1,0,9,0,48,4,54,1,14
1400000US06001430200,06001430200,"Census Tract 4302, Alameda County, California",721,53,0,11,391,74,0,1,82,87,0,0,4,0,0,0,16,0,2
1400000US06001430300,06001430300,"Census Tract 4303, Alameda County, California",282,29,0,0,135,42,0,3,33,23,0,0,0,0,8,0,6,0,3
1400000US06001430400,06001430400,"Census Tract 4304, Alameda County, California",207,35,0,0,84,21,0,0,30,19,8,0,0,0,6,0,4,0,0
1400000US06001430500,06001430500,"Census Tract 4305, Alameda County, California",620,125,0,11,220,141,0,0,29,42,0,0,2,0,1,1,18,0,30
1400000US06001430600,06001430600,"Census Tract 4306, Alameda County, California",814,65,0,0,439,113,0,1,66,82,0,1,1,0,0,1,40,0,5
1400000US06001430700,06001430700,"Census Tract 4307, Alameda County, California",366,36,1,5,197,55,0,0,34,29,0,0,0,0,0,0,6,0,3
1400000US06001430800,06001430800,"Census Tract 4308, Alameda County, California",404,29,0,11,148,76,0,1,31,90,0,0,0,0,4,3,6,0,5
1400000US06001430900,06001430900,"Census Tract 4309, Alameda County, California",462,58,0,0,110,111,0,0,22,130,0,0,2,2,1,1,21,0,4
1400000US06001431000,06001431000,"Census Tract 4310, Alameda County, California",255,34,0,0,103,56,0,0,12,31,0,0,0,0,0,7,12,0,0
1400000US06001431100,06001431100,"Census Tract 4311, Alameda County, California",237,30,0,4,83,58,0,4,12,33,0,0,0,0,0,0,12,0,1
1400000US06001431200,06001431200,"Census Tract 4312, Alameda County, California",577,73,0,1,141,170,2,11,61,76,0,0,9,1,2,0,26,0,4
1400000US06001432100,06001432100,"Census Tract 4321, Alameda County, California",365,11,0,2,187,93,0,1,35,4,2,0,0,0,9,5,11,1,4
1400000US06001432200,06001432200,"Census Tract 4322, Alameda County, California",302,17,0,7,82,122,0,1,31,26,0,0,0,1,5,1,8,0,1
1400000US06001432300,06001432300,"Census Tract 4323, Alameda County, California",385,14,0,3,122,182,0,0,23,13,0,0,0,0,0,4,21,0,3
1400000US06001432400,06001432400,"Census Tract 4324, Alameda County, California",1096,32,0,13,200,705,0,1,35,26,4,2,6,0,3,0,62,0,7
1400000US06001432500,06001432500,"Census Tract 4325, Alameda County, California",2612,123,0,9,831,1369,2,3,35,51,13,0,1,2,4,3,155,0,11
